    
Name                                     Id                                            Version
Grammarly for MS Office                  grammarly.grammarlyforoffice                  6.8.254
Wolai                                    Woyun.Wolai                                   1.0.15.0
Alipay Development Assistant             alibaba.alipaydevelopmentassistant            1.0.7
Grammarly                                grammarly.GrammarlyForWindows                 1.5.70
Lunacy                                   Icons8.Lunacy                                 6.6.0
0patch Agent                             ACROSSecurity.0patch                          latest
Publii                                   TidyCustoms.Publii                            0.37.3
MEGASync                                 Mega.MEGASync                                 4.3.9.0
LMMS Nightly                             LMMS.LMMSNightly                              1.3.0
GoodSync                                 SiberSystems.GoodSync                         11.5.3.3
WinDirStat: Windows Directory Statistics WinDirStat.WinDirStat                         1.1.2
VLC media player                         VideoLAN.VLC                                  3.0.11
System Information for Windows           TopalaSoftwareSolutions.SIW                   2020.09.15.7
Rambox Community Edition                 Rambox.RamboxCE                               0.7.5
Nullsoft Scriptable Install System       NSIS.NSIS                                     3.05
Media Player Classic - Home Cinema (MPCтАж MPC-HC.MPC-HC                                 1.7.13
Thunderbird (Swedish)                    Mozilla.Thunderbird.Thunderbird_v78.1.1       78.1.1 (sv-SE)
Thunderbird (Swedish)                    Mozilla.Thunderbird.Thunderbird_v78.1.0       78.1.0 (sv-SE)
Firefox (Chinese Taiwan)                 Mozilla.Firefox.Firefox_v79.0                 79.0 (ZH-TW)
Windows Assessment and Deployment ToolkтАж Microsoft.WindowsADK                          2004
Microsoft Visual C++ 2010 Service Pack тАж Microsoft.VC++2010Redist-x86                  10.0.40219.325
Microsoft Visual C++ 2010 Service Pack тАж Microsoft.VC++2010Redist-x64                  10.0.40219.325
Microsoft Visual C++ 2008 Service Pack тАж Microsoft.VC++2008Redist-x86                  9.0.30729.6161
Microsoft Visual C++ 2008 Service Pack тАж Microsoft.VC++2008Redist-x64                  9.0.30729.6161
Microsoft Visual C++ 2005 Service Pack тАж Microsoft.VC++2005Redist-x86                  8.0.61001
Microsoft Visual C++ 2005 Service Pack тАж Microsoft.VC++2005Redist-x64                  8.0.61000
Official Hamster Republic Role Playing тАж HamsterRepublic.OHRRPGCE                      2020.05.02.11799
DBeaver Community Edition                dbeaver.dbeaver                               7.3.1
MPC-HC                                   clsid2.mpc-hc                                 1.9.6
Wechat Work                              Tencent.wechat-work                           3.0.30.2006
Tencent Meeting                          Tencent.TencentMeeting                        2.5.0.470
Econap                                   SelectCode.econap                             1.3.4.0
Avro                                     OmicronLab.Avro                               5.6.0
Nutstore                                 Nutstore.Nutstore                             5.1.8.0
Huawei Mobile Cloud                      huawei.mobilecloud                            10.2.2.300
Local                                    WPEngine.Local                                5.5.3
