    
Name                                     Id                                            Version
NBTExplorer                              Jaquadro.NBTExplorer                          2.8.0
PSpad                                    JanFiala.PSpad                                5.0.3.377
TreeSize Free                            JAMSoftware.TreeSizeFree                      4.4.2
HeavyLoad                                JAMSoftware.HeavyLoad                         3.6.0
SPIM                                     JamesLarus.SPIM                               9.1.21
Jackett                                  Jackett.Jackett                               0.16.1922
JabRef                                   JabRef.JabRef                                 5.1
IZArc                                    IZArc.IZArc                                   4.4
Cyberduck                                Iterate.Cyberduck                             7.7.2
PresenceLight                            isaaclevin.presencelight                      3.0.43
PowerShell Universal                     IronmanSoftware.PowerShellUniversal           1.4.0
IrfanView                                IrfanSkiljan.IrfanView                        4.54
pyaudio                                  intxcc.pyaudio                                0.2.11
InsomniaDesigner                         Insomnia.InsomniaDesigner                     2020.4.1
Insomnia                                 Insomnia.Insomnia                             2020.4.1
Nmap                                     Insecure.Nmap                                 7.80
Inkscape                                 Inkscape.Inkscape                             1.0.1
YogaDNS                                  Initex.YogaDNS                                1.14
HashTab                                  Implbits.HashTab                              6.0.0.34
ImageMagick                              ImageMagick.ImageMagick                       7.0.10-37
IceChat                                  IceChat.IceChat                               9.22
HelpNDoc                                 IBESoftware.HelpNDoc                          6.9.0.577
Hyperspace Desktop                       HyperspaceDev.HyperspaceDesktop               1.1.3
Huawei Quick App IDE                     Huawei.QuickAppIDE                            3.0.2
Huawei Pcmanager                         huawei.pcmanager                              10.0.2.59
Huawei Mobile Cloud                      huawei.mobilecloud                            10.2.2.300
Free Hex Editor Neo                      HHDSoftware.FreeHexEditorNeo                  6.44.01.6234
IDA Freeware                             HexRays.IDA-Freeware                          7.0
HexChat                                  HexChat.HexChat                               2.14.3
Link Shell Extension                     HermannSchinagl.LinkShellExtension            3.9.33
simplewall                               Henry++.simplewall                            3.2.4
Nagstamon                                HenriWahl.Nagstamon                           3.4.1
Hedgewars                                Hedgewars.Hedgewars                           1.0.0
HandyWinget-GUI                          HandyOrg.HandyWinget-GUI                      1.3.0.1
Official Hamster Republic Role Playing тАж HamsterRepublic.OHRRPGCE                      2020.05.02.11799
Bob the Hamster VGA                      HamsterRepublic.BobTheHamsterVGA              1.0
MakeMKV                                  GuinpinSoft.MakeMKV                           1.15.3
Graphviz                                 Graphviz.Graphviz                             2.38
GraphQL Playground                       Graphcool.GraphQLPlayground                   1.8.10
Gramps                                   Gramps.Gramps                                 5.1.2
Grafana Open Source                      GrafanaLabs.GrafanaOSS                        7.1.4
Grafana Enterprise                       GrafanaLabs.GrafanaEnterprise                 7.1.4
IAP Desktop                              Google.IAPDesktop                             2.9.392
Google Earth Pro                         Google.EarthPro                               7.3.3
Google Chrome Beta                       Google.ChromeBeta                             latest
Google Backup And Sync                   Google.BackupAndSync                          latest
GoldWave                                 GoldWave.GoldWave                             6.52
Go                                       Golang.Go-Unstable                            1.15-beta1
Go                                       GoLang.Go                                     1.15.5
GOG Galaxy                               GOG.Galaxy                                    2.0.30.20
Agent                                    GoCD.Agent                                    20.7.0-12065
Make for Windows                         GnuWin32.Make                                 3.81
GNURadio                                 GNURadio.GNURadio                             3.7.13.5
GnuCash                                  GnuCash.GnuCash                               4.2
GNU Octave                               GNU.Octave                                    5.2.0
Midnight Commander                       GNU.MidnightCommander                         4.8.24
GNU Emacs                                GNU.Emacs                                     27.1
TightVNC                                 GlavSoft.TightVNC                             2.8.27
